no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
48167,71361,63.07.03.2008,63,07,03,2008,6307032008,0,1,Ta'al (Taal),Labuan Amas Selatan,Kabupaten,Hulu Sungai Tengah,Kalimantan Selatan,240
49584,29335,14.02.10.2010,14,02,10,2010,1402102010,0,1,Pulau Jum'at (Pulau Jumat),Kuala Cenaku,Kabupaten,Indragiri Hulu,Riau,247
49875,77459,65.03.18.2001,65,03,18,2001,6503182001,0,1,Pa' Betung (Pa Betung),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49876,77459,65.03.18.2005,65,03,18,2005,6503182005,0,1,Pa' Kebuan (Pa Kebuan),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49877,77459,65.03.18.2013,65,03,18,2013,6503182013,0,1,Pa' Lidung (Pa Lidung),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49878,77459,65.03.18.2004,65,03,18,2004,6503182004,0,1,Pa' Melade (Pa Melade),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49879,77459,65.03.18.2011,65,03,18,2011,6503182011,0,1,Pa' Pala (Pa Pala),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49880,77459,65.03.18.2003,65,03,18,2003,6503182003,0,1,Pa' Pawan (Pa Pawan),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49881,77459,65.03.18.2007,65,03,18,2007,6503182007,0,1,Pa' Rangeb (Pa Rangeb),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49882,77459,65.03.18.2014,65,03,18,2014,6503182014,0,1,Pa' Raye (Pa Raye),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49883,77459,65.03.18.2006,65,03,18,2006,6503182006,0,1,Pa' Umung (Pa Umung),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49885,77459,65.03.18.2016,65,03,18,2016,6503182016,0,1,Wa' Yagung (Wa Yagung),Krayan Timur,Kabupaten,Nunukan,Kalimantan Utara,249
49886,77458,65.03.17.2009,65,03,17,2009,6503172009,0,1,Ba' Liku (Ba Liku),Krayan Tengah,Kabupaten,Nunukan,Kalimantan Utara,249
49893,77458,65.03.17.2008,65,03,17,2008,6503172008,0,1,Pa' Milau (Pa Milau),Krayan Tengah,Kabupaten,Nunukan,Kalimantan Utara,249
49894,77458,65.03.17.2011,65,03,17,2011,6503172011,0,1,Pa' Yalau (Pa Yalau),Krayan Tengah,Kabupaten,Nunukan,Kalimantan Utara,249
49902,77454,65.03.07.2004,65,03,07,2004,6503072004,0,1,Pa' Amai (Pa Amai),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
